Category,Name,Final_price,Regular_price,Discount_percent,Installment,Cross_border,Sponsor,Reviews,Rating,Rating_by_stars,Url,Image_url
Laptop - Máy Vi Tính - Linh kiện/Laptop/Macbook,Apple Macbook Pro Touch Bar 2019 - 13 inchs (i5/ 8GB/ 128GB) - Hàng Nhập Khẩu Chính Hãng,29899000,36990000,19,YES,NO,NO,17,92,4.6,https://tiki.vn/apple-macbook-pro-touch-bar-2019-13-inchs-i5-8gb-128gb-hang-nhap-khau-chinh-hang-p23264373.html?spid=23264375&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/ca/45/dd/2308cbc5641e280cf8fa27b9f62900ae.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop HP ENVY 13-aq1022TU 8QN69PA (Core i5-10210U/ 8GB/ 512GB SSD/ 13.3 FHD/ WIN10) - Hàng Chính Hãng,20979000,22690000,8,YES,NO,NO,7,94,4.7,https://tiki.vn/laptop-hp-envy-13-aq1022tu-8qn69pa-core-i5-10210u-8gb-512gb-ssd-13-3-fhd-win10-hang-chinh-hang-p45023084.html?spid=45023085&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/26/c7/02/4e037f915c484176029d3be4d3e45da0.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop MSI Bravo 15 A4DCR-052VN (AMD R5-4600H/ 8GB DDR4 3200MHz/ 256GB SSD M.2 PCIE/ RX 5300M 3GB GDDR6/ 15.6 FHD IPS/ Win 10) - Hàng Chính Hãng,19149000,20490000,7,YES,NO,NO,1,100,5.0,https://tiki.vn/laptop-msi-bravo-15-a4dcr-052vn-amd-r5-4600h-8gb-ddr4-3200mhz-256gb-ssd-m-2-pcie-rx-5300m-3gb-gddr6-15-6-fhd-ips-win-10-hang-chinh-hang-p56694005.html?spid=56694006&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/90/d0/99/f9fb4ffcd5f8a9ab04f5691d59bb6548.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop Dell Vostro 5490 V4I5106W (Core 5-10210U/ 8GB DDR4 2666MHz/ 256GB M.2 PCIe NVMe/ 14 FHD/ Win10) - Hàng Chính Hiệu,16829000,19990000,16,YES,NO,NO,3,80,4.0,https://tiki.vn/laptop-dell-vostro-5490-v4i5106w-core-5-10210u-8gb-ddr4-2666mhz-256gb-m-2-pcie-nvme-14-fhd-win10-hang-chinh-hieu-p45183900.html?spid=45183901&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/0b/02/de/d64144e52875faf9c87cee670e070b14.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop Asus Vivobook A412DA-EK346T AMD R3-3200U/ Win10 (14 FHD) - Silver - Hàng Chính Hãng,10848000,11990000,10,YES,NO,NO,5,96,4.8,https://tiki.vn/laptop-asus-vivobook-a412da-ek346t-amd-r3-3200u-win10-14-fhd-silver-hang-chinh-hang-p34471728.html?spid=34471729&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/20/85/4f/cb27f3f9038734aa437749adb7181835.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop Lenovo IdeaPad S145-15API 81UT00DMVN (AMD R3-3200U/ 4GB/ 256GB SSD/ 15.6 FHD/Win10) - Hàng Chính Hãng,8879000,10490000,15,YES,NO,NO,1,60,3.0,https://tiki.vn/laptop-lenovo-ideapad-s145-15api-81ut00dmvn-amd-r3-3200u-4gb-256gb-ssd-15-6-fhd-win10-hang-chinh-hang-p55731958.html?spid=55731959&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/44/1e/b9/7be76386eb1f4f5ddfa279ac85304dc2.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop Lenovo Ideapad L340-15IRH 81LK00XLVN (Core i5-9300H/ 8GB/ 512GB SSD/ GTX 1050/ 15.6 FHD IPS/ Free DOS) - Hàng Chính Hãng,16719000,17990000,7,YES,NO,NO,9,94,4.7,https://tiki.vn/laptop-lenovo-ideapad-l340-15irh-81lk00xlvn-core-i5-9300h-8gb-512gb-ssd-gtx-1050-15-6-fhd-ips-free-dos-hang-chinh-hang-p46788890.html?spid=46788891&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/ab/b5/a6/031acd09f77761a6e1910c01ff0a5809.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop Dell Vostro 3490 70207360 (Core i5-10210U/ 8GB DDR4 2666MHz/ 256GB SSD M.2 PCIE/ 14 FHD/ Win10) - Hàng Chính Hãng,14279000,15990000,11,YES,NO,NO,2,100,5.0,https://tiki.vn/laptop-dell-vostro-3490-70207360-core-i5-10210u-8gb-ddr4-2666mhz-256gb-ssd-m-2-pcie-14-fhd-win10-hang-chinh-hang-p50247924.html?spid=50247925&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/a8/67/44/334340b4e2c58f516399f08f76b48e4e.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop MSI Modern 14 A10M-1053VN (Core i5-10210U/ 4GB DDR4 2666MHz/ 256GB PCIe NVMe/ 14 FHD IPS/ Win10) - Hàng Chính Hãng,15049000,15990000,6,YES,NO,NO,3,94,4.7,https://tiki.vn/laptop-msi-modern-14-a10m-1053vn-core-i5-10210u-4gb-ddr4-2666mhz-256gb-pcie-nvme-14-fhd-ips-win10-hang-chinh-hang-p57669293.html?spid=57669294&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/e4/fa/17/2db8c1eae00ebbb3a9dd714af10a25cf.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop Dell Vostro 5590 V5590A (Core i7-10510U/ 8GB DDR4 2666MHz/ 256GB PCIe NVMe/ MX250 2GB/ 15.6 FHD/ Win10) - Hàng Chính Hãng,22329000,24990000,11,YES,NO,NO,3,100,5.0,https://tiki.vn/laptop-dell-vostro-5590-v5590a-core-i7-10510u-8gb-ddr4-2666mhz-256gb-pcie-nvme-mx250-2gb-15-6-fhd-win10-hang-chinh-hang-p45082361.html?spid=45082362&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/3c/be/67/ed35bab787f1ce841e6d48fbc3b19ba4.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop ASUS TUF Gaming A15 FA506II-AL016T (AMD Ryzen R7-4800H/ 8GB DDR4 3200MHz/ 512GB SSD M.2 PCIE G3X2/ GTX 1650Ti 4GB/ Win10) - Hàng Chính Hãng,22849000,23990000,5,YES,NO,NO,7,84,4.2,https://tiki.vn/laptop-asus-tuf-gaming-a15-fa506ii-al016t-amd-ryzen-r7-4800h-8gb-ddr4-3200mhz-512gb-ssd-m-2-pcie-g3x2-gtx-1650ti-4gb-win10-hang-chinh-hang-p53788962.html?spid=53788963&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/71/2b/55/3dd363f97351501147b842f0c67538d5.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop Dell Inspiron 3493 WTW3M2 (Core i3-1005G1/ 4GB/ 256GB SSD/ 14 FHD/ Win10) - Hàng Chính Hãng,10049000,11490000,13,YES,NO,NO,0,0,0.0,https://tiki.vn/laptop-dell-inspiron-3493-wtw3m2-core-i3-1005g1-4gb-256gb-ssd-14-fhd-win10-hang-chinh-hang-p54391438.html?spid=54391439&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/f2/a2/28/c14466b615d622b00165d700498f620a.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop ASUS Zenbook UX434FAC-A6064T (Core i5-10210U/ 8GB LPDDR3 2133MHz/ 512GB SSD M.2 PCIE/ 14 FUD IPS/ Win10) - Hàng Chính Hãng,21809000,24490000,11,YES,NO,NO,8,86,4.3,https://tiki.vn/laptop-asus-zenbook-ux434fac-a6064t-core-i5-10210u-8gb-lpddr3-2133mhz-512gb-ssd-m-2-pcie-14-fud-ips-win10-hang-chinh-hang-p42964513.html?spid=42964514&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/96/73/c9/0b50dcd1e3bda923d1558b4ad96f3f9a.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop HP Envy 13-aq1021TU 8QN79PA (Core i5-10210U/ 8GB/ 256GB SSD/ 13.3 FHD/ WIN10) - Hàng Chính Hãng,20459000,21990000,7,YES,NO,NO,7,90,4.5,https://tiki.vn/laptop-hp-envy-13-aq1021tu-8qn79pa-core-i5-10210u-8gb-256gb-ssd-13-3-fhd-win10-hang-chinh-hang-p46076115.html?spid=46076116&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/f2/6e/18/553be0f19822bc30ac4e418d491187ef.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop LG Gram 2020 14ZD90N-V.AX53A5 (Core i5-1035G7/ 8GB/ 256GB NVMe/ 14 FHD IPS/ NonOS/ White) - Hàng Chính Hãng,28490000,28990000,2,YES,NO,NO,2,100,5.0,https://tiki.vn/laptop-lg-gram-2020-14zd90n-v-ax53a5-core-i5-1035g7-8gb-256gb-nvme-14-fhd-ips-nonos-white-hang-chinh-hang-p51462522.html?spid=51462523&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/3b/5b/37/9a6b77bcdc755604007ad915dbc5ac10.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,"Laptop Dell Inspiron 3593 N3593A (Core i3-1005G1/ 4GB DDR4 2666MHz/ HDD 1TB 5400rpm, x1 slot SSD M.2 PCIe/ 15.6 FHD/ Win10) - Hàng Chính Hãng",10649000,13990000,24,YES,NO,NO,1,80,4.0,https://tiki.vn/laptop-dell-inspiron-3593-n3593a-core-i3-1005g1-4gb-ddr4-2666mhz-hdd-1tb-5400rpm-x1-slot-ssd-m-2-pcie-15-6-fhd-win10-hang-chinh-hang-p49362724.html?spid=49362725&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/06/e6/75/ce4e11b66a1ac54659bec899f6918510.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop HP 15s-fq1022TU 8VY75PA (Core i7-1065G7/ 8GB DDR4 2666MHz/ 512GB PCIe NVMe/ 15.6 FHD/ Win10) - Hàng Chính Hãng,16719000,17990000,7,YES,NO,NO,5,96,4.8,https://tiki.vn/laptop-hp-15s-fq1022tu-8vy75pa-core-i7-1065g7-8gb-ddr4-2666mhz-512gb-pcie-nvme-15-6-fhd-win10-hang-chinh-hang-p49306555.html?spid=49306556&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/fd/e0/1c/eeb547a4fd24e2d4ae1961767b620ddb.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop Asus Vivobook A512DA-EJ422T AMD R5-3500U/Win10 (15.6 FHD) - Hàng Chính Hãng,13449000,15990000,16,YES,NO,NO,16,74,3.7,https://tiki.vn/laptop-asus-vivobook-a512da-ej422t-amd-r5-3500u-win10-15-6-fhd-hang-chinh-hang-p20955090.html?spid=20955091&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/f8/89/09/8cf82b1d215d342c01b9cb5c77567265.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop Asus Vivobook A412FA-EK734T (Core i5-10210U/ 8GB (4GB x2) DDR4 2400MHz/ 512GB SSD M.2 PCIE G3X2/ 14 FHD/ Win10) - Hàng Chính Hãng,15629000,16990000,8,YES,NO,NO,2,90,4.5,https://tiki.vn/laptop-asus-vivobook-a412fa-ek734t-core-i5-10210u-8gb-4gb-x2-ddr4-2400mhz-512gb-ssd-m-2-pcie-g3x2-14-fhd-win10-hang-chinh-hang-p48207870.html?spid=48207871&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/6f/12/cf/fcc12037d3122a8380c9e3fea5628ba0.jpg
